video,camera,date,common_name,species,count,notes,month,sample_month,sample,individual,behaviour,water_interaction
02150004.MP4,CROP09,15/02/2024 19:51,Beaver,Castor_fiber,1,,Mar,CROP09_Mar,CROP_0309,adult,SW,Y
15th Feb pm.MP4,CROP06,15/02/2024 22:15,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,"EX, SC",Y
15th Feb pm.MP4,CROP04,15/02/2024 23:42,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02160004.MP4,CROP03,16/02/2024 00:14,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
16th Feb am.MP4,CROP04,16/02/2024 02:07,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
16th Feb am (2).MP4,CROP04,16/02/2024 03:30,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
16th Feb am (3).MP4,CROP04,16/02/2024 04:24,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
16th Feb am (4).MP4,CROP04,16/02/2024 07:10,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02160005.MP4,CROP03,16/02/2024 15:48,Grey heron,Ardea_cinerea,1,,Mar,CROP03_Mar,CROP_0303,,,
16th Feb pm otter (2).MP4,CROP06,16/02/2024 18:02,Otter,Lutra_lutra,1,,Mar,CROP06_Mar,CROP_0306,adult,EW,Y
16th Feb pm otter.MP4,CROP06,16/02/2024 18:02,Otter,Lutra_lutra,1,,Mar,CROP06_Mar,CROP_0306,adult,EW,Y
16th Feb pm.MP4,CROP07,16/02/2024 19:01,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,SW,Y
03070002.MP4,CROP10,16/02/2024 19:57,Beaver,Castor_fiber,1,,Mar,CROP10_Mar,CROP_0310,adult,SW,Y
03070003.MP4,CROP10,16/02/2024 21:04,Otter,Lutra_lutra,2,,Mar,CROP10_Mar,CROP_0310,juvenile,SW,Y
03070003.MP4,CROP10,16/02/2024 21:04,Otter,Lutra_lutra,2,,Mar,CROP10_Mar,CROP_0310,juvenile,SW,Y
16th Feb pm unknown.MP4,CROP04,16/02/2024 21:17,Brown rat,Rattus_norvegicus,1,,Mar,CROP04_Mar,CROP_0304,,,
16th Feb pm.MP4,CROP05,16/02/2024 21:43,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
16th Feb pm scent mark.MP4,CROP06,16/02/2024 22:35,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,"EX, SM",Y
17th Feb am.MP4,CROP07,17/02/2024 00:32,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,"SW, EX, SG",Y
17th Feb am (1).MP4,CROP05,17/02/2024 00:43,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EX,Y
17th Feb am.MP4,CROP06,17/02/2024 02:44,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,N
17th Feb am (2).MP4,CROP05,17/02/2024 03:00,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,WA,Y
17th Feb am (2).MP4,CROP04,17/02/2024 03:26,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02170006.MP4,CROP03,17/02/2024 04:38,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
17th Feb am.MP4,CROP04,17/02/2024 04:57,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
17th Feb am (3).MP4,CROP04,17/02/2024 05:21,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
17th Feb am (4).MP4,CROP04,17/02/2024 06:17,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
17th Feb pm.MP4,CROP04,17/02/2024 21:48,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
18th Feb am (1).MP4,CROP05,18/02/2024 00:11,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,N
18th Feb am beaver and otter.MP4,CROP04,18/02/2024 00:55,Otter,Lutra_lutra,1,,Mar,CROP04_Mar,CROP_0304,adult,WA,Y
18th Feb am beaver and otter.MP4,CROP04,18/02/2024 00:55,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
18th Feb am.MP4,CROP06,18/02/2024 01:30,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
18th Feb am (2).MP4,CROP05,18/02/2024 01:57,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
18th Feb am.MP4,CROP04,18/02/2024 02:05,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,"EX, SC",Y
18th Feb am (2).MP4,CROP04,18/02/2024 03:09,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02180007.MP4,CROP03,18/02/2024 04:41,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
18th Feb am (3).MP4,CROP04,18/02/2024 08:01,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
18th Feb pm.MP4,CROP06,18/02/2024 19:37,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
01050005.MP4,CROP08,18/02/2024 19:37,Otter,Lutra_lutra,2,,Mar,CROP08_Mar,CROP_0308,adult,SW,Y
01050005.MP4,CROP08,18/02/2024 19:37,Otter,Lutra_lutra,2,,Mar,CROP08_Mar,CROP_0308,adult,SW,Y
18th Feb pm.MP4,CROP04,18/02/2024 20:24,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,N
18th Feb pm otter.MP4,CROP06,18/02/2024 23:11,Otter,Lutra_lutra,1,,Mar,CROP06_Mar,CROP_0306,adult,WA,Y
19th Feb am.MP4,CROP06,19/02/2024 01:38,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
19th Feb am (2).MP4,CROP04,19/02/2024 01:40,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
19th Feb am.MP4,CROP04,19/02/2024 02:39,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02190009.MP4,CROP03,19/02/2024 04:06,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
02190010.MP4,CROP03,19/02/2024 04:44,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
19th Feb am (3).MP4,CROP04,19/02/2024 07:45,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
02190011.MP4,CROP03,19/02/2024 08:47,Pheasant,Phasianus_colchicus,1,,Mar,CROP03_Mar,CROP_0303,,,
Otter 19th Feb (2).MP4,CROP05,19/02/2024 11:42,Otter,Lutra_lutra,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
Otter 19th Feb (3).MP4,CROP05,19/02/2024 11:42,Otter,Lutra_lutra,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
19th Feb pm.MP4,CROP04,19/02/2024 20:09,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
19th Feb pm.MP4,CROP06,19/02/2024 20:30,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
02160003.MP4,CROP01,19/02/2024 21:28,Otter,Lutra_lutra,1,Difficult to tell,Mar,CROP01_Mar,CROP_0301,juvenile,SW,Y
19th Feb pm (2).MP4,CROP04,19/02/2024 21:48,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
19th Feb pm (3).MP4,CROP04,19/02/2024 23:03,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
20th Feb am.MP4,CROP06,20/02/2024 00:11,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
20th Feb am.MP4,CROP07,20/02/2024 00:17,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,SW,Y
02200013.MP4,CROP03,20/02/2024 03:26,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
02200014.MP4,CROP03,20/02/2024 03:54,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
20th Feb am.MP4,CROP05,20/02/2024 04:05,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,WA,Y
02200016.MP4,CROP03,20/02/2024 04:06,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
20th Feb am.MP4,CROP04,20/02/2024 04:41,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02200018.MP4,CROP03,20/02/2024 05:09,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
02200019.MP4,CROP03,20/02/2024 05:48,Brown rat,Rattus_norvegicus,1,,Mar,CROP03_Mar,CROP_0303,,,
20th Feb am (2).MP4,CROP04,20/02/2024 07:26,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,N
02200020.MP4,CROP03,20/02/2024 09:24,Pheasant,Phasianus_colchicus,1,,Mar,CROP03_Mar,CROP_0303,,,
02200021.MP4,CROP03,20/02/2024 09:28,Pheasant,Phasianus_colchicus,1,,Mar,CROP03_Mar,CROP_0303,,,
20th Feb pm.MP4,CROP06,20/02/2024 20:06,Otter,Lutra_lutra,1,,Mar,CROP06_Mar,CROP_0306,adult,WA,Y
20th Feb pm (1).MP4,CROP07,20/02/2024 20:16,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,"EX, SG",Y
20th Feb pm.MP4,CROP04,20/02/2024 20:56,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
02170004.MP4,CROP01,20/02/2024 21:29,Otter,Lutra_lutra,1,,Mar,CROP01_Mar,CROP_0301,juvenile,SW,Y
02170005.MP4,CROP01,20/02/2024 21:43,Otter,Lutra_lutra,1,,Mar,CROP01_Mar,CROP_0301,juvenile,EW,Y
20th Feb pm (2).MP4,CROP04,20/02/2024 22:49,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
20th Feb pm (3).MP4,CROP07,20/02/2024 22:50,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,"SC, EA",Y
20th Feb pm (4).MP4,CROP07,20/02/2024 23:01,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
20th Feb pm (2).MP4,CROP07,20/02/2024 23:26,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,SG,Y
20th Feb pm (5).MP4,CROP07,20/02/2024 23:40,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,"VO, EA",Y
20th Feb pm (3).MP4,CROP04,20/02/2024 23:48,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
21st Feb am (1).MP4,CROP07,21/02/2024 00:58,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,"SC, EA",Y
21st Feb am (2).MP4,CROP07,21/02/2024 01:00,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (3).MP4,CROP07,21/02/2024 01:01,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (4).MP4,CROP07,21/02/2024 01:03,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (5).MP4,CROP07,21/02/2024 01:05,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (6).MP4,CROP07,21/02/2024 01:07,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (7).MP4,CROP07,21/02/2024 01:09,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (8).MP4,CROP07,21/02/2024 01:20,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
21st Feb am (9).MP4,CROP07,21/02/2024 01:24,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,EA,Y
